ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Neu5Ac,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N52,N78
118-2-0,13709.8127,0.2,2,0.31,1,13709.8527,-0.0400,-3,8,8,1,2,1,1,0,0,0.31,A2G0F,A2S1G1F
119-0-0,13710.8622,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120-9-0,13725.8877,33.3,0,99.07,2,13725.8476,0.0401,3,10,8,1,0,0,1,0,0,78.69,A2G2,A2S1G1
120-9-1,13725.8877,33.3,1,0.61,2,13725.8476,0.0401,3,10,8,1,0,0,1,0,0,0.54,A1G1,A3S1G2
120-8-0,13725.8877,33.3,2,0.13,2,13725.8476,0.0401,3,9,8,1,1,1,1,0,0,0.08,A2S1G1F,A2G1
120-9-2,13725.8877,33.3,3,0.10,2,13725.8476,0.0401,3,10,8,1,0,0,1,0,0,0.07,A1S1,A3G3
120-8-1,13725.8877,33.3,4,0.07,2,13725.8476,0.0401,3,9,8,1,1,1,1,0,0,0.06,A2G2F,A2S1G0
120-6-0,13725.8877,33.3,5,0.01,1,13725.8680,0.0197,1,10,8,0,2,0,0,0,0,0.01,A2G2F,A2G2F
120-7-0,13725.8877,33.3,6,0.00,1,13725.8476,0.0401,3,8,8,1,2,2,1,0,0,0.00,A2G0F,A2S1G1F
121-0-0,13739.8619,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122-4-0,13740.8596,0.1,0,99.08,2,13740.8425,0.0171,1,10,8,1,0,1,0,0,0,78.70,A2G2,A2S1G1
122-4-1,13740.8596,0.1,1,0.61,2,13740.8425,0.0171,1,10,8,1,0,1,0,0,0,0.54,A1G1,A3S1G2
122-3-0,13740.8596,0.1,2,0.13,2,13740.8425,0.0171,1,9,8,1,1,2,0,0,0,0.08,A2S1G1F,A2G1
122-4-2,13740.8596,0.1,3,0.10,2,13740.8425,0.0171,1,10,8,1,0,1,0,0,0,0.07,A1S1,A3G3
122-3-1,13740.8596,0.1,4,0.07,2,13740.8425,0.0171,1,9,8,1,1,2,0,0,0,0.06,A2G2F,A2S1G0
123-4-0,13741.8538,1.6,0,99.07,2,13741.8425,0.0112,1,10,8,1,0,1,1,0,0,78.69,A2G2,A2S1G1
123-4-1,13741.8538,1.6,1,0.61,2,13741.8425,0.0112,1,10,8,1,0,1,1,0,0,0.54,A1G1,A3S1G2
123-3-0,13741.8538,1.6,2,0.13,2,13741.8425,0.0112,1,9,8,1,1,2,1,0,0,0.08,A2S1G1F,A2G1
123-4-2,13741.8538,1.6,3,0.10,2,13741.8425,0.0112,1,10,8,1,0,1,1,0,0,0.07,A1S1,A3G3
123-3-1,13741.8538,1.6,4,0.07,2,13741.8425,0.0112,1,9,8,1,1,2,1,0,0,0.06,A2G2F,A2S1G0
123-1-0,13741.8538,1.6,5,0.01,1,13741.8629,-0.0092,-1,10,8,0,2,1,0,0,0,0.01,A2G2F,A2G2F
124-0-0,13746.8803,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125-0-0,13751.8634,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126-0-0,13753.8586,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127-0-0,13754.8628,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128-9-0,13757.9034,0.0,0,99.23,2,13757.8375,0.0659,5,10,8,1,0,2,1,0,0,78.82,A2G2,A2S1G1
128-9-1,13757.9034,0.0,1,0.62,2,13757.8375,0.0659,5,10,8,1,0,2,1,0,0,0.54,A1G1,A3S1G2
128-9-2,13757.9034,0.0,2,0.10,2,13757.8375,0.0659,5,10,8,1,0,2,1,0,0,0.07,A1S1,A3G3
128-8-0,13757.9034,0.0,3,0.04,2,13757.8579,0.0455,3,12,8,0,0,0,0,0,0,0.04,M5-A1G1,A3G3
128-6-0,13757.9034,0.0,4,0.01,1,13757.8579,0.0455,3,10,8,0,2,2,0,0,0,0.01,A2G2F,A2G2F
129-2-0,13758.8499,0.6,0,74.38,2,13758.8579,-0.0080,-1,12,8,0,0,0,1,0,0,67.41,M5-A1G1,A3G3
129-0-0,13758.8499,0.6,1,25.62,1,13758.8579,-0.0080,-1,10,8,0,2,2,1,0,0,25.62,A2G2F,A2G2F
130-0-0,13759.8808,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131-0-0,13760.8745,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132-0-0,13766.8735,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133-0-0,13768.8720,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134-0-0,13769.8646,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135-0-0,13777.8769,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136-0-0,13778.8310,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137-3-0,13787.8383,0.1,0,90.08,2,13787.8320,0.0063,0,11,6,2,0,1,0,0,0,83.32,M6,A2S2
137-2-0,13787.8383,0.1,1,9.92,2,13787.8320,0.0063,0,10,6,2,1,2,0,0,0,8.61,M5,A2S2F
138-7-0,13788.8600,0.9,0,89.12,2,13788.8320,0.0280,2,11,6,2,0,1,1,0,0,82.44,M6,A2S2
138-6-0,13788.8600,0.9,1,9.82,2,13788.8320,0.0280,2,10,6,2,1,2,1,0,0,8.52,M5,A2S2F
138-2-0,13788.8600,0.9,2,1.06,2,13788.8524,0.0076,1,12,6,1,1,0,0,0,0,0.84,A2S1G1F,M7
139-2-0,13796.8623,0.1,0,52.08,2,13796.8688,-0.0064,-0,9,7,2,1,0,0,0,0,39.96,A1G1,A2S2F
139-2-1,13796.8623,0.1,1,47.92,2,13796.8688,-0.0064,-0,9,7,2,1,0,0,0,0,27.63,A2S1G1F,A1S1
140-3-0,13797.8636,0.8,0,52.08,2,13797.8688,-0.0052,-0,9,7,2,1,0,1,0,0,39.96,A1G1,A2S2F
140-3-1,13797.8636,0.8,1,47.92,2,13797.8688,-0.0052,-0,9,7,2,1,0,1,0,0,27.63,A2S1G1F,A1S1
141-3-0,13798.8444,0.0,0,100.00,2,13798.8844,-0.0400,-3,11,9,0,0,0,0,0,0,73.95,A2G2,A3G3
142-0-0,13807.8757,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143-1-0,13813.8716,7.6,0,39.92,2,13813.8637,0.0079,1,9,7,2,1,1,1,0,0,30.63,A1G1,A2S2F
143-1-1,13813.8716,7.6,1,36.73,2,13813.8637,0.0079,1,9,7,2,1,1,1,0,0,21.17,A2S1G1F,A1S1
143-2-0,13813.8716,7.6,2,23.36,2,13813.8637,0.0079,1,10,7,2,0,0,1,0,0,15.86,M5-A1S1,A2S1G0
144-0-0,13823.8666,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145-0-0,13826.8632,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146-9-0,13829.9013,0.2,0,31.67,2,13829.8586,0.0428,3,9,7,2,1,2,1,0,0,24.30,A1G1,A2S2F
146-9-1,13829.9013,0.2,1,29.14,2,13829.8586,0.0428,3,9,7,2,1,2,1,0,0,16.80,A2S1G1F,A1S1
146-8-0,13829.9013,0.2,2,18.53,2,13829.8586,0.0428,3,10,7,2,0,1,1,0,0,12.58,M5-A1S1,A2S1G0
146-7-0,13829.9013,0.2,3,11.71,2,13829.8790,0.0224,2,11,7,1,1,0,0,0,0,8.88,A2G2F,M5-A1S1
146-7-1,13829.9013,0.2,4,8.26,2,13829.8790,0.0224,2,11,7,1,1,0,0,0,0,6.02,M5-A1G1,A2S1G1F
146-7-2,13829.9013,0.2,5,0.70,1,13829.8790,0.0224,2,11,7,1,1,0,0,0,0,0.70,A3S1G2F,M5
147-0-0,13834.8948,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148-0-0,13835.8716,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149-0-0,13842.8828,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150-8-0,13844.9090,0.6,0,100.00,2,13844.8535,0.0555,4,10,7,2,0,2,0,0,0,67.91,M5-A1S1,A2S1G0
151-9-0,13845.9118,0.0,0,37.32,2,13845.8535,0.0583,4,10,7,2,0,2,1,0,0,25.35,M5-A1S1,A2S1G0
151-7-0,13845.9118,0.0,1,23.58,2,13845.8739,0.0379,3,11,7,1,1,1,0,0,0,17.89,A2G2F,M5-A1S1
151-8-0,13845.9118,0.0,2,21.04,2,13845.8739,0.0379,3,12,7,1,0,0,0,0,0,18.70,M6,A3S1G2
151-7-1,13845.9118,0.0,3,16.65,2,13845.8739,0.0379,3,11,7,1,1,1,0,0,0,12.13,M5-A1G1,A2S1G1F
151-7-2,13845.9118,0.0,4,1.40,1,13845.8739,0.0379,3,11,7,1,1,1,0,0,0,1.40,A3S1G2F,M5
152-0-0,13850.8964,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153-0-0,13857.8776,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154-2-0,13861.8714,0.9,0,37.62,2,13861.8688,0.0026,0,11,7,1,1,2,0,0,0,28.54,A2G2F,M5-A1S1
154-3-0,13861.8714,0.9,1,33.58,2,13861.8688,0.0026,0,12,7,1,0,1,0,0,0,29.83,M6,A3S1G2
154-2-1,13861.8714,0.9,2,26.56,2,13861.8688,0.0026,0,11,7,1,1,2,0,0,0,19.36,M5-A1G1,A2S1G1F
154-2-2,13861.8714,0.9,3,2.24,1,13861.8688,0.0026,0,11,7,1,1,2,0,0,0,2.24,A3S1G2F,M5
155-0-0,13864.9087,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156-1-0,13870.8890,1.7,0,44.48,2,13870.8851,0.0039,0,9,8,2,0,1,1,0,0,38.59,A2G1,A2S2
156-3-0,13870.8890,1.7,1,23.48,2,13870.9055,-0.0165,-1,10,8,1,1,0,0,0,0,21.46,A2G2F,A2S1G1
156-1-1,13870.8890,1.7,2,23.40,2,13870.8851,0.0039,0,9,8,2,0,1,1,0,0,14.37,A2S1G0,A2S1G1
156-3-1,13870.8890,1.7,3,8.12,2,13870.9055,-0.0165,-1,10,8,1,1,0,0,0,0,4.54,A2S1G1F,A2G2
156-0-0,13870.8890,1.7,4,0.48,1,13870.8851,0.0039,0,8,8,2,1,2,1,0,0,0.48,A2G0F,A2S2
156-3-2,13870.8890,1.7,5,0.05,1,13870.9055,-0.0165,-1,10,8,1,1,0,0,0,0,0.05,A3S1G2F,A1G1
157-8-0,13877.8852,0.0,0,100.00,2,13877.8637,0.0215,2,12,7,1,0,2,0,0,0,88.84,M6,A3S1G2
158-0-0,13878.8698,0.3,0,100.00,2,13878.8637,0.0061,0,12,7,1,0,2,1,0,0,88.84,M6,A3S1G2
159-8-0,13885.9024,0.9,0,65.53,2,13885.8800,0.0224,2,9,8,2,0,2,0,0,0,56.86,A2G1,A2S2
159-8-1,13885.9024,0.9,1,34.47,2,13885.8800,0.0224,2,9,8,2,0,2,0,0,0,21.16,A2S1G0,A2S1G1
160-0-0,13886.8812,0.3,0,44.69,2,13886.8800,0.0012,0,9,8,2,0,2,1,0,0,38.78,A2G1,A2S2
160-2-0,13886.8812,0.3,1,23.60,2,13886.9004,-0.0192,-1,10,8,1,1,1,0,0,0,21.56,A2G2F,A2S1G1
160-0-1,13886.8812,0.3,2,23.51,2,13886.8800,0.0012,0,9,8,2,0,2,1,0,0,14.43,A2S1G0,A2S1G1
160-2-1,13886.8812,0.3,3,8.15,2,13886.9004,-0.0192,-1,10,8,1,1,1,0,0,0,4.56,A2S1G1F,A2G2
160-2-2,13886.8812,0.3,4,0.05,1,13886.9004,-0.0192,-1,10,8,1,1,1,0,0,0,0.05,A3S1G2F,A1G1
161-0-0,13891.8873,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162-0-0,13892.8721,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163-0-0,13898.9251,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164-0-0,13907.8740,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165-0-0,13914.9789,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166-0-0,13920.9394,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167-0-0,13922.8754,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168-1-0,13928.9096,1.5,0,89.35,2,13928.9270,-0.0174,-1,10,9,1,0,0,1,0,0,72.27,A2G1,A3S1G2
168-1-1,13928.9096,1.5,1,9.76,2,13928.9270,-0.0174,-1,10,9,1,0,0,1,0,0,5.26,A2S1G0,A3G3
168-2-0,13928.9096,1.5,2,0.89,1,13928.9270,-0.0174,-1,9,9,1,1,1,1,0,0,0.89,A2G0F,A3S1G2
169-0-0,13936.8971,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170-0-0,13936.9156,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171-0-0,13940.9297,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172-9-0,13942.9404,3.0,0,99.94,2,13942.9063,0.0342,2,9,7,3,0,0,1,0,0,88.35,A1S1,A2S2
172-5-0,13942.9404,3.0,1,0.06,1,13942.9267,0.0138,1,9,7,2,2,0,0,0,0,0.06,A2S2F2,A1G1
173-8-0,13957.9532,0.8,0,100.00,2,13957.9012,0.0520,4,9,7,3,0,1,0,0,0,88.40,A1S1,A2S2
174-10-0,13966.9272,0.6,0,90.90,2,13966.8798,0.0474,3,12,6,2,0,2,1,0,0,66.72,M7,A2S2
174-10-1,13966.9272,0.6,1,9.10,1,13966.8798,0.0474,3,12,6,2,0,2,1,0,0,9.10,M5-A1S1,M5-A1S1
175-0-0,13968.9228,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176-9-0,13974.9433,3.2,0,47.43,2,13974.8961,0.0472,3,9,7,3,0,2,1,0,0,41.93,A1S1,A2S2
176-8-0,13974.9433,3.2,1,26.60,2,13974.9165,0.0268,2,11,7,2,0,0,0,0,0,20.50,M5-A1S1,A2S1G1
176-8-1,13974.9433,3.2,2,21.21,2,13974.9165,0.0268,2,11,7,2,0,0,0,0,0,20.47,M5-A1G1,A2S2
176-8-2,13974.9433,3.2,3,4.74,2,13974.9165,0.0268,2,11,7,2,0,0,0,0,0,4.66,M5,A3S2G1
176-6-0,13974.9433,3.2,4,0.03,1,13974.9165,0.0268,2,9,7,2,2,2,0,0,0,0.03,A2S2F2,A1G1
177-2-0,13975.9106,0.0,0,50.59,2,13975.9165,-0.0058,-0,11,7,2,0,0,1,0,0,39.00,M5-A1S1,A2S1G1
177-2-1,13975.9106,0.0,1,40.34,2,13975.9165,-0.0058,-0,11,7,2,0,0,1,0,0,38.94,M5-A1G1,A2S2
177-2-2,13975.9106,0.0,2,9.02,2,13975.9165,-0.0058,-0,11,7,2,0,0,1,0,0,8.86,M5,A3S2G1
177-0-0,13975.9106,0.0,3,0.05,1,13975.9165,-0.0058,-0,9,7,2,2,2,1,0,0,0.05,A2S2F2,A1G1
178-3-0,13984.9380,1.1,0,100.00,1,13984.9532,-0.0152,-1,8,8,2,2,0,1,0,0,100.00,A2G0F,A2S2F
179-0-0,13987.9294,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180-0-0,13993.9753,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181-0-0,13996.9307,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182-0-0,14001.9609,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183-9-0,14016.9927,85.9,0,51.39,1,14016.9430,0.0497,4,10,8,2,0,0,1,0,0,51.39,A2S1G1,A2S1G1
183-9-1,14016.9927,85.9,1,47.66,2,14016.9430,0.0497,4,10,8,2,0,0,1,0,0,42.47,A2G2,A2S2
183-9-2,14016.9927,85.9,2,0.59,2,14016.9430,0.0497,4,10,8,2,0,0,1,0,0,0.57,A1G1,A3S2G1
183-9-3,14016.9927,85.9,3,0.24,2,14016.9430,0.0497,4,10,8,2,0,0,1,0,0,0.20,A1S1,A3S1G2
183-8-0,14016.9927,85.9,4,0.06,2,14016.9430,0.0497,4,9,8,2,1,1,1,0,0,0.04,A2G1,A2S2F
183-8-1,14016.9927,85.9,5,0.04,2,14016.9430,0.0497,4,9,8,2,1,1,1,0,0,0.03,A2S1G1F,A2S1G0
183-6-0,14016.9927,85.9,6,0.02,2,14016.9634,0.0293,2,10,8,1,2,0,0,0,0,0.02,A2G2F,A2S1G1F
183-7-0,14016.9927,85.9,7,0.00,1,14016.9430,0.0497,4,8,8,2,2,2,1,0,0,0.00,A2G0F,A2S2F
184-0-0,14030.9556,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185-0-0,14032.9406,8.5,0,51.39,1,14032.9380,0.0027,0,10,8,2,0,1,1,0,0,51.39,A2S1G1,A2S1G1
185-0-1,14032.9406,8.5,1,47.66,2,14032.9380,0.0027,0,10,8,2,0,1,1,0,0,42.48,A2G2,A2S2
185-0-2,14032.9406,8.5,2,0.59,2,14032.9380,0.0027,0,10,8,2,0,1,1,0,0,0.57,A1G1,A3S2G1
185-0-3,14032.9406,8.5,3,0.24,2,14032.9380,0.0027,0,10,8,2,0,1,1,0,0,0.20,A1S1,A3S1G2
185-1-0,14032.9406,8.5,4,0.06,2,14032.9380,0.0027,0,9,8,2,1,2,1,0,0,0.04,A2G1,A2S2F
185-1-1,14032.9406,8.5,5,0.04,2,14032.9380,0.0027,0,9,8,2,1,2,1,0,0,0.03,A2S1G1F,A2S1G0
185-3-0,14032.9406,8.5,6,0.02,2,14032.9584,-0.0177,-1,10,8,1,2,1,0,0,0,0.02,A2G2F,A2S1G1F
186-0-0,14037.9794,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187-8-0,14040.9466,2.0,0,100.00,2,14040.9166,0.0301,2,13,7,1,0,2,1,0,0,64.02,M7,A3S1G2
188-0-0,14041.9366,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189-8-0,14047.9645,2.1,0,51.45,1,14047.9329,0.0316,2,10,8,2,0,2,0,0,0,51.45,A2S1G1,A2S1G1
189-8-1,14047.9645,2.1,1,47.72,2,14047.9329,0.0316,2,10,8,2,0,2,0,0,0,42.53,A2G2,A2S2
189-8-2,14047.9645,2.1,2,0.59,2,14047.9329,0.0316,2,10,8,2,0,2,0,0,0,0.57,A1G1,A3S2G1
189-8-3,14047.9645,2.1,3,0.24,2,14047.9329,0.0316,2,10,8,2,0,2,0,0,0,0.20,A1S1,A3S1G2
190-2-0,14049.9474,2.9,0,67.55,2,14049.9533,-0.0059,-0,12,8,1,0,0,1,0,0,64.00,M5-A1G1,A3S1G2
190-2-1,14049.9474,2.9,1,17.59,2,14049.9533,-0.0059,-0,12,8,1,0,0,1,0,0,12.53,M5-A1S1,A3G3
190-0-0,14049.9474,2.9,2,14.85,2,14049.9533,-0.0059,-0,10,8,1,2,2,1,0,0,10.16,A2G2F,A2S1G1F
191-0-0,14057.9746,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192-0-0,14066.9479,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193-0-0,14069.9421,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194-4-0,14073.9479,0.0,0,100.00,1,14073.9849,-0.0370,-3,10,9,1,1,0,0,0,0,100.00,A3S1G2F,A2G1
195-0-0,14078.9239,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196-3-0,14089.9477,4.1,0,67.97,2,14089.9798,-0.0321,-2,11,9,1,0,0,0,0,0,57.15,A2G2,A3S1G2
196-3-1,14089.9477,4.1,1,31.90,2,14089.9798,-0.0321,-2,11,9,1,0,0,0,0,0,18.38,A3G3,A2S1G1
196-2-0,14089.9477,4.1,2,0.13,1,14089.9798,-0.0321,-2,10,9,1,1,1,0,0,0,0.13,A3S1G2F,A2G1
197-3-0,14096.9574,0.9,0,95.28,2,14096.9428,0.0146,1,12,6,2,1,1,1,0,0,52.77,A2S2F,M7
197-2-0,14096.9574,0.9,1,4.72,1,14096.9428,0.0146,1,11,6,2,2,2,1,0,0,4.72,A2S2F2,M6
198-4-0,14103.9768,9.0,0,100.00,2,14103.9591,0.0177,1,9,7,3,1,1,0,0,0,68.98,A1S1,A2S2F
199-7-0,14111.9622,0.8,0,100.00,2,14111.9377,0.0245,2,12,6,2,1,2,0,0,0,55.39,A2S2F,M7
200-6-0,14112.9657,0.0,0,100.00,2,14112.9377,0.0280,2,12,6,2,1,2,1,0,0,55.39,A2S2F,M7
201-0-0,14113.9405,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202-8-0,14119.9900,1.4,0,100.00,2,14119.9540,0.0360,3,9,7,3,1,2,0,0,0,68.98,A1S1,A2S2F
203-0-0,14122.9637,0.8,0,68.06,2,14122.9697,-0.0060,-0,11,9,1,0,2,1,0,0,57.22,A2G2,A3S1G2
203-0-1,14122.9637,0.8,1,31.94,2,14122.9697,-0.0060,-0,11,9,1,0,2,1,0,0,18.41,A3G3,A2S1G1
204-0-0,14130.9918,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205-0-0,14131.9564,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206-0-0,14139.9788,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207-2-0,14145.9830,0.0,0,99.84,2,14145.9856,-0.0026,-0,9,8,3,0,0,1,0,0,77.01,A2S1G0,A2S2
207-5-0,14145.9830,0.0,1,0.16,1,14146.0060,-0.0230,-2,9,8,2,2,0,0,0,0,0.16,A2S2F2,A2G1
208-0-0,14148.6350,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209-0-0,14148.9630,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210-0-0,14150.9319,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211-0-0,14155.9549,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212-0-0,14159.0276,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213-4-0,14161.9712,2.2,0,34.65,2,14162.0010,-0.0298,-2,10,8,2,1,0,0,0,0,28.77,A2S1G1F,A2S1G1
213-4-1,14161.9712,2.2,1,30.43,2,14162.0010,-0.0298,-2,10,8,2,1,0,0,0,0,29.13,A2G2F,A2S2
213-1-0,14161.9712,2.2,2,25.29,2,14161.9806,-0.0094,-1,9,8,3,0,1,1,0,0,19.51,A2S1G0,A2S2
213-4-2,14161.9712,2.2,3,9.36,2,14162.0010,-0.0298,-2,10,8,2,1,0,0,0,0,6.60,A2G2,A2S2F
213-4-3,14161.9712,2.2,4,0.16,2,14162.0010,-0.0298,-2,10,8,2,1,0,0,0,0,0.13,A1G1,A3S2G1F
213-4-4,14161.9712,2.2,5,0.07,1,14162.0010,-0.0298,-2,10,8,2,1,0,0,0,0,0.07,A3S1G2F,A1S1
213-3-0,14161.9712,2.2,6,0.04,1,14162.0010,-0.0298,-2,9,8,2,2,1,0,0,0,0.04,A2S2F2,A2G1
214-0-0,14169.9674,0.5,0,98.93,2,14169.9591,0.0083,1,12,7,2,0,2,1,0,0,95.81,M6,A3S2G1
214-2-0,14169.9674,0.5,1,1.07,1,14169.9795,-0.0121,-1,13,7,1,1,1,0,0,0,1.07,A3S1G2F,M7
215-1-0,14177.9976,2.3,0,34.65,2,14177.9959,0.0018,0,10,8,2,1,1,0,0,0,28.77,A2S1G1F,A2S1G1
215-1-1,14177.9976,2.3,1,30.43,2,14177.9959,0.0018,0,10,8,2,1,1,0,0,0,29.13,A2G2F,A2S2
215-6-0,14177.9976,2.3,2,25.29,2,14177.9755,0.0222,2,9,8,3,0,2,1,0,0,19.51,A2S1G0,A2S2
215-1-2,14177.9976,2.3,3,9.36,2,14177.9959,0.0018,0,10,8,2,1,1,0,0,0,6.60,A2G2,A2S2F
215-1-3,14177.9976,2.3,4,0.16,2,14177.9959,0.0018,0,10,8,2,1,1,0,0,0,0.13,A1G1,A3S2G1F
215-1-4,14177.9976,2.3,5,0.07,1,14177.9959,0.0018,0,10,8,2,1,1,0,0,0,0.07,A3S1G2F,A1S1
215-0-0,14177.9976,2.3,6,0.04,1,14177.9959,0.0018,0,9,8,2,2,2,0,0,0,0.04,A2S2F2,A2G1
216-7-0,14178.0338,0.0,0,34.65,2,14177.9959,0.0380,3,10,8,2,1,1,0,0,0,28.77,A2S1G1F,A2S1G1
216-7-1,14178.0338,0.0,1,30.43,2,14177.9959,0.0380,3,10,8,2,1,1,0,0,0,29.13,A2G2F,A2S2
216-9-0,14178.0338,0.0,2,25.29,2,14177.9755,0.0584,4,9,8,3,0,2,1,0,0,19.51,A2S1G0,A2S2
216-7-2,14178.0338,0.0,3,9.36,2,14177.9959,0.0380,3,10,8,2,1,1,0,0,0,6.60,A2G2,A2S2F
216-7-3,14178.0338,0.0,4,0.16,2,14177.9959,0.0380,3,10,8,2,1,1,0,0,0,0.13,A1G1,A3S2G1F
216-7-4,14178.0338,0.0,5,0.07,1,14177.9959,0.0380,3,10,8,2,1,1,0,0,0,0.07,A3S1G2F,A1S1
216-6-0,14178.0338,0.0,6,0.04,1,14177.9959,0.0380,3,9,8,2,2,2,0,0,0,0.04,A2S2F2,A2G1
